栅格ID,小区ID,天线水平倾斜角,天线垂直倾斜角,距离,天线高度,RSRP
2326,481372_101515,17854861,50,350,582,26,-112
1057,481338_101518,17854861,278,20,279,26,-94
3073,481382_101443,125931787,122,168,1879,29,-102
3131,481262_101527,17854861,251,163,2008,26,-83
1156,481360_101510,17854861,63,357,297,26,-99
387,481339_101531,125932299,61,2,154,25,-88
2904,481380_101435,125870872,142,172,1329,45,-111
2477,481316_101551,125932299,306,346,658,25,-120
1737,481360_101498,125870872,279,31,396,45,-112
2485,481363_101533,17854861,5,348,664,26,-112
1295,481322_101538,125932299,293,354,322,25,-90
1672,481300_101544,125890330,351,355,384,32,-114
3023,481296_101470,125932299,197,162,1715,25,-88
1215,481353_101488,125890571,95,131,307,25,-103
3360,481285_101707,125932299,328,343,4576,25,-101
2782,481388_101534,125931787,30,351,1106,29,-99
2975,481418_101523,125890571,334,346,1552,25,-118
966,481379_101479,125870872,113,152,263,45,-117
1090,481332_101541,125932299,341,348,286,25,-119
1515,481370_101495,125890571,14,349,357,25,-94
2522,481377_101513,17854861,56,349,690,26,-106
189,481369_101489,125870872,261,106,105,45,-103
916,481355_101518,125931787,17,356,255,29,-99
2144,481365_101482,125890571,57,350,501,25,-111
326,481351_101515,125931787,11,2,139,29,-87
1592,481363_101513,17854861,52,352,369,26,-101
1859,481385_101500,125870872,14,1,419,45,-113
1179,481356_101488,125890571,81,18,301,25,-110
658,481310_101543,125890330,321,2,206,32,-94
861,481365_101494,125870872,279,45,245,45,-109
80,481335_101531,125932299,42,11,70,25,-88
3367,481281_101708,125932299,327,343,4623,25,-119
2831,481293_101507,125890330,307,353,1181,32,-101
2969,481379_101458,125931787,118,167,1513,29,-97
3241,481231_101516,17854861,243,164,2685,26,-116
3094,481369_101437,125931787,133,168,1916,29,-101
1765,481348_101537,125932299,49,348,401,25,-114
1306,481360_101516,125931787,37,356,323,29,-88
2913,481386_101551,125931787,14,351,1347,29,-81
2276,481397_101487,125870872,61,4,559,45,-107
2353,481366_101527,17854861,19,348,594,26,-103
3322,481239_101610,17854861,282,347,3522,26,-97
2634,481391_101508,125890571,341,346,842,25,-114
2424,481374_101516,17854861,49,349,632,26,-111
800,481349_101520,17854861,340,352,234,26,-102
3102,481414_101557,125931787,25,350,1927,29,-78
1768,481376_101472,125870872,138,166,401,45,-112
1769,481385_101499,125870872,16,1,401,45,-112
1483,481302_101543,125890330,344,356,352,32,-96
1565,481351_101486,125890571,101,148,366,25,-105
3084,481371_101438,125931787,131,168,1905,29,-103
244,481368_101488,125870872,245,132,120,45,-114
767,481324_101534,125932299,283,10,227,25,-96
33,481372_101488,125870872,272,88,49,45,-102
1109,481356_101519,17854861,17,351,289,26,-100
1064,481337_101540,125932299,8,348,280,25,-108
45,481317_101548,125890330,238,122,57,32,-86
1148,481363_101495,125870872,277,47,295,45,-106
2484,481331_101527,125890330,245,164,664,32,-86
1387,481359_101487,125890571,69,357,336,25,-111
2307,481372_101511,17854861,59,351,572,26,-120
469,481340_101512,125931787,251,144,171,29,-90
682,481312_101557,125890330,74,21,211,32,-89
