栅格ID,小区ID,天线水平倾斜角,天线垂直倾斜角,距离,天线高度,RSRP
1952,481365_101517,17854861,41,350,439,26,-80
208,481337_101531,125932299,55,6,110,25,-114
431,481336_101524,125932299,130,150,163,25,-105
1316,481368_101506,125890571,328,350,325,25,-100
2002,481336_101500,125890571,174,161,452,25,-98
1852,481364_101517,125931787,39,355,418,29,-81
2710,481396_101494,125890571,3,346,945,25,-109
2549,481385_101511,125890571,333,347,733,25,-117
2475,481374_101520,125890571,307,348,657,25,-98
528,481363_101502,125890571,340,353,180,25,-105
2355,481362_101477,125890571,69,351,595,25,-110
1652,481369_101473,125870872,164,167,380,45,-108
1954,481348_101540,125932299,41,347,441,25,-114
3223,481325_101608,125931787,316,350,2487,29,-97
935,481380_101480,125870872,106,143,257,45,-106
1340,481333_101510,17854861,238,157,329,26,-75
2382,481382_101502,125890571,350,347,612,25,-115
546,481355_101512,125931787,50,4,184,29,-86
299,481313_101554,125890330,69,28,134,32,-101
1224,481386_101489,125870872,53,9,308,45,-105
368,481359_101495,125890571,49,359,150,25,-94
952,481357_101516,17854861,32,352,261,26,-87
1002,481342_101536,125932299,41,349,270,25,-86
236,481373_101492,125870872,332,20,117,45,-96
1404,481385_101495,125870872,28,3,338,45,-103
310,481327_101528,125932299,242,143,137,25,-91
3069,481399_101453,17854861,107,163,1878,26,-106
2377,481370_101523,125931787,32,353,608,29,-76
2124,481329_101549,125932299,333,346,492,25,-112
602,481375_101495,125870872,346,8,195,45,-93
86,481330_101531,125932299,288,41,73,25,-96
1127,481330_101541,125932299,331,348,292,25,-110
559,481353_101516,17854861,18,354,187,26,-95
270,481330_101534,125932299,315,358,127,25,-87
3210,481241_101486,125932299,230,162,2379,25,-98
3328,481356_101356,125890571,84,349,3606,25,-104
104,481355_101497,125890571,90,91,80,25,-101
351,481335_101535,125932299,9,352,147,25,-99
2430,481383_101501,125890571,352,347,634,25,-107
2659,481385_101511,17854861,60,349,872,26,-128
601,481330_101537,125932299,325,351,195,25,-99
2774,481303_101507,125890330,296,354,1099,32,-89
2830,481364_101534,125870872,319,357,1179,45,-106
112,481336_101530,125932299,64,23,83,25,-104
1423,481359_101519,17854861,25,350,341,26,-91
3340,481437_101448,125890330,230,170,3781,32,-102
1144,481358_101517,17854861,30,351,294,26,-91
1337,481376_101475,125870872,135,164,328,45,-121
501,481310_101554,125890330,49,7,176,32,-97
2735,481397_101512,125890571,338,346,1003,25,-105
1196,481363_101490,125890571,48,352,304,25,-108
814,481323_101533,125932299,275,37,238,25,-98
3335,481309_101675,125932299,334,343,3681,25,-117
141,481316_101546,125890330,275,75,90,32,-101
2876,481352_101577,125932299,7,344,1268,25,-105
2189,481368_101519,125931787,38,354,522,29,-78
1818,481383_101501,125870872,7,1,410,45,-111
2417,481371_101523,17854861,33,348,628,26,-99
1016,481349_101491,125890571,118,154,272,25,-113
1397,481368_101507,125890571,325,350,337,25,-94
2796,481376_101550,125932299,50,344,1124,25,-104
803,481377_101496,125870872,356,6,234,45,-94
2318,481371_101518,125931787,43,353,578,29,-116
1664,481346_101526,17854861,325,350,382,26,-123
2064,481337_101548,125932299,358,346,472,25,-93
2673,481392_101488,125890571,13,346,893,25,-109
2391,481344_101552,125932299,12,345,619,25,-115
449,481372_101494,125870872,323,14,166,45,-93
2629,481379_101527,17854861,33,348,838,26,-87
2333,481360_101477,125890571,73,353,585,25,-111
3307,481397_101435,125890330,244,169,3425,32,-101
2491,481384_101505,125890571,344,347,668,25,-116
1600,481300_101553,125890330,23,356,371,32,-106
2134,481328_101549,125932299,331,346,497,25,-110
2204,481368_101502,17854861,82,7,528,26,-110
1653,481372_101500,125890571,354,348,380,25,-105
923,481356_101517,17854861,24,352,256,26,-88
989,481338_101539,125932299,15,348,267,25,-106
127,481330_101532,125932299,300,15,87,25,-82
1199,481367_101506,125890571,327,350,304,25,-106
2498,481328_101531,17854861,286,353,672,26,-108
2049,481390_101478,125870872,88,78,466,45,-113
94,481372_101490,125870872,312,43,76,45,-100
103,481358_101502,125890571,318,9,79,25,-91
3283,481348_101432,125890330,264,164,3032,32,-121
362,481317_101555,125890330,112,143,149,32,-96
1812,481372_101494,125890571,15,348,409,25,-103
1729,481372_101504,125890571,341,348,393,25,-116
735,481306_101549,125890330,7,359,222,32,-84
633,481364_101498,125890571,8,352,202,25,-105
2427,481310_101544,125932299,287,350,633,25,-90
3105,481385_101506,125890330,222,169,1936,32,-91
2846,481325_101468,125870872,217,172,1210,45,-114
335,481331_101535,125932299,329,354,141,25,-79
440,481326_101532,125932299,277,44,165,25,-98
3345,481155_101506,125890330,354,351,3861,32,-116
595,481359_101493,125890571,58,359,194,25,-96
3162,481291_101633,125890330,83,358,2171,32,-92
2102,481296_101542,125890330,349,354,488,32,-107
3232,481423_101521,125890330,205,170,2579,32,-89
1094,481334_101541,125932299,351,348,287,25,-110
1504,481358_101486,125890571,74,0,356,25,-108
2647,481390_101487,125890571,16,346,859,25,-105
2076,481308_101567,125890330,76,7,476,32,-125
1361,481365_101490,125890571,41,350,332,25,-114
119,481357_101503,125890571,294,25,85,25,-100
1286,481361_101510,125931787,62,1,320,29,-99
353,481350_101516,125931787,358,1,147,29,-93
2459,481375_101514,125931787,53,354,646,29,-104
48,481314_101548,125890330,331,28,58,32,-100
2540,481373_101495,17854861,90,112,715,26,-107
1203,481340_101521,17854861,295,357,305,26,-116
314,481336_101534,125932299,22,354,137,25,-96
3175,481412_101548,125890330,190,170,2226,32,-115
743,481378_101495,125870872,4,6,223,45,-99
3090,481372_101438,125931787,130,168,1911,29,-111
3013,481292_101473,125932299,201,162,1699,25,-97
249,481377_101490,125870872,29,19,121,45,-78
2510,481349_101538,17854861,333,348,682,26,-110
577,481378_101482,125870872,106,136,190,45,-97
1967,481320_101543,125932299,301,349,444,25,-88
2738,481364_101548,17854861,354,347,1008,26,-80
216,481359_101497,125890571,35,0,112,25,-102
2992,481337_101575,17854861,320,347,1624,26,-107
2327,481372_101515,125931787,50,354,582,29,-110
1756,481355_101525,125931787,358,354,399,29,-108
988,481330_101540,125932299,330,349,267,25,-118
336,481373_101493,125870872,332,15,141,45,-100
2463,481372_101523,125931787,33,353,649,29,-90
1867,481357_101525,17854861,4,349,421,26,-99
265,481377_101485,125870872,90,91,125,45,-88
2767,481306_101507,125890330,292,355,1083,32,-99
3045,481393_101562,125890330,180,169,1815,32,-121
2352,481372_101517,125931787,46,354,593,29,-103
1840,481322_101543,125932299,306,348,415,25,-90
3355,481278_101693,125932299,325,343,4281,25,-115
2695,481391_101483,125890571,21,346,922,25,-110
1846,481368_101488,125890571,39,349,416,25,-109
1344,481361_101514,125931787,46,357,329,29,-101
117,481352_101500,125890571,174,147,85,25,-106
3225,481295_101417,125890571,120,163,2505,25,-116
742,481355_101516,125931787,26,358,223,29,-99
2084,481366_101519,17854861,36,349,480,26,-93
3160,481314_101430,125931787,172,169,2164,29,-84
1676,481385_101498,125870872,19,2,384,45,-111
2692,481333_101470,125890571,120,162,914,25,-117
1134,481368_101498,125890571,4,349,292,25,-109
2175,481368_101503,17854861,80,3,518,26,-107
1244,481303_101554,125890330,30,357,313,32,-100
2306,481336_101507,125932299,155,160,572,25,-94
74,481318_101550,125890330,174,142,67,32,-110
1781,481384_101500,125870872,12,1,404,45,-108
1166,481379_101498,125870872,0,3,298,45,-101
2980,481385_101459,17854861,113,163,1564,26,-101
2758,481399_101514,125890571,336,346,1062,25,-99
732,481309_101543,125890330,326,0,221,32,-100
2101,481360_101519,125890571,278,4,487,25,-103
279,481356_101495,125890571,77,33,128,25,-107
1757,481362_101519,125931787,31,354,399,29,-90
1402,481370_101498,125890571,2,349,338,25,-110
689,481337_101537,125932299,16,350,212,25,-100
2752,481399_101512,125890571,339,346,1047,25,-107
18,481354_101500,125890571,173,130,43,25,-99
3194,481418_101444,17854861,102,163,2339,26,-95
2277,481365_101526,17854861,19,348,560,26,-105
2157,481369_101509,17854861,64,352,505,26,-102
1804,481356_101525,17854861,1,349,409,26,-96
638,481378_101494,125870872,8,7,203,45,-97
1489,481312_101563,125890330,84,39,353,32,-114
1121,481335_101541,125932299,356,347,291,25,-106
2546,481348_101540,125931787,331,352,731,29,-81
1595,481387_101481,125870872,84,50,369,45,-96
392,481339_101528,125932299,86,68,155,25,-106
1310,481361_101513,125931787,50,358,324,29,-97
1014,481362_101491,125890571,49,353,271,25,-106
1793,481319_101540,125932299,292,352,407,25,-100
2802,481419_101503,125870872,41,358,1133,45,-110
3096,481431_101532,125890571,331,345,1917,25,-119
2366,481373_101514,125931787,53,354,601,29,-105
2033,481391_101495,125870872,37,2,459,45,-98
3113,481264_101525,17854861,250,163,1953,26,-96
852,481366_101499,125890571,0,350,243,25,-110
4,481347_101511,125931787,313,77,29,29,-85
2089,481368_101510,125931787,62,357,481,29,-97
1253,481360_101515,125931787,41,357,314,29,-98
1940,481373_101505,125870872,330,1,436,45,-100
3220,481297_101425,125931787,180,169,2442,29,-124
1850,481363_101519,17854861,32,350,418,26,-86
723,481356_101514,17854861,39,354,219,26,-107
2118,481337_101528,17854861,299,352,491,26,-81
3088,481368_101437,125931787,133,168,1910,29,-104
3212,481404_101431,125931787,114,168,2390,29,-91
957,481364_101494,125870872,276,55,262,45,-111
3324,481425_101626,125890571,293,346,3539,25,-109
2861,481307_101486,125932299,196,161,1242,25,-92
2976,481307_101587,125932299,319,344,1553,25,-92
925,481358_101513,17854861,48,354,256,26,-105
2924,481406_101516,125931787,55,352,1363,29,-102
1207,481357_101519,17854861,20,351,306,26,-95
200,481360_101499,125890571,7,358,108,25,-87
2598,481376_101526,125890571,302,348,804,25,-96
3145,481260_101529,17854861,252,163,2064,26,-83
3190,481386_101425,125931787,125,168,2328,29,-70
318,481310_101551,125890330,26,5,138,32,-85
856,481342_101534,125932299,50,352,244,25,-83
2183,481374_101512,125890571,321,348,521,25,-110
2429,481343_101550,125890330,188,168,634,32,-98
1561,481375_101502,125870872,338,2,365,45,-117
2982,481294_101477,125932299,202,162,1590,25,-138
1272,481339_101521,17854861,291,358,318,26,-115
1586,481324_101542,125932299,309,349,368,25,-106
2617,481306_101581,125890330,82,9,823,32,-83
2942,481289_101495,125931787,225,168,1401,29,-82
1291,481376_101500,125870872,344,3,320,45,-104
1400,481346_101535,125932299,53,350,338,25,-104
1633,481382_101500,125870872,6,1,377,45,-115
697,481367_101494,125870872,288,30,213,45,-118
728,481364_101496,125890571,20,351,220,25,-104
384,481321_101546,125890330,223,155,154,32,-98
2114,481321_101546,125932299,309,347,490,25,-85
860,481353_101519,17854861,5,352,245,26,-98
2807,481405_101502,125890571,352,346,1142,25,-120
190,481330_101533,125932299,309,4,106,25,-85
1609,481321_101540,125932299,296,351,373,25,-101
2643,481371_101469,125890571,59,348,854,25,-117
153,481344_101513,17854861,277,61,95,26,-89
2926,481312_101467,17854861,189,164,1366,26,-93
1881,481328_101546,125932299,328,346,424,25,-115
759,481308_101555,125890330,46,2,226,32,-98
419,481354_101510,17854861,65,8,160,26,-109
967,481384_101489,125870872,52,11,263,45,-103
1371,481370_101500,125890571,354,349,334,25,-112
2856,481328_101461,125870872,209,172,1232,45,-108
1186,481303_101546,125890330,355,357,303,32,-97
2328,481363_101529,17854861,11,348,583,26,-97
196,481319_101552,125890330,150,151,108,32,-98
3310,481218_101444,125890330,322,351,3468,32,-95
3368,481288_101711,125932299,330,343,4657,25,-121
2411,481372_101521,17854861,38,349,626,26,-89
3282,481378_101443,125890330,249,169,3028,32,-86
1806,481359_101484,125890571,72,356,409,25,-106
1499,481321_101539,125932299,294,352,356,25,-109
1376,481303_101556,125890330,37,357,335,32,-117
972,481352_101490,125890571,102,144,264,25,-104
589,481339_101512,17854861,250,145,193,26,-89
114,481359_101500,125890571,355,2,83,25,-89
2865,481401_101516,17854861,55,348,1248,26,-107
2371,481341_101480,125890571,119,160,603,25,-106
2505,481337_101479,125890571,125,161,678,25,-105
108,481317_101552,125890330,125,136,81,32,-103
2783,481403_101522,125870872,11,357,1107,45,-94
123,481354_101503,125890571,242,135,86,25,-105
958,481366_101496,125890571,16,350,262,25,-106
805,481328_101538,125932299,316,351,236,25,-103
1185,481359_101516,125931787,36,356,302,29,-95
2142,481371_101514,125890571,312,349,500,25,-104
3099,481388_101444,125931787,118,168,1920,29,-104
2266,481394_101498,125870872,33,0,554,45,-98
3234,481382_101465,125890330,242,169,2610,32,-100
3242,481294_101631,125932299,323,343,2690,25,-113
1283,481361_101511,125931787,58,0,319,29,-107
3265,481413_101473,125890330,228,170,2952,32,-111
477,481338_101525,125932299,112,144,172,25,-101
348,481327_101527,125932299,233,148,146,25,-91
1226,481344_101536,125932299,46,349,309,25,-89
167,481334_101526,125932299,139,145,99,25,-94
2716,481395_101488,125890571,12,346,959,25,-104
1266,481346_101532,125932299,64,353,316,25,-107
1700,481364_101511,17854861,59,353,388,26,-101
2087,481368_101510,17854861,62,352,480,26,-94
2929,481379_101433,125870872,143,172,1377,45,-112
2909,481397_101538,125931787,31,351,1335,29,-111
3172,481254_101532,17854861,253,163,2216,26,-98
2078,481363_101523,125931787,22,353,476,29,-81
116,481335_101532,125932299,29,2,85,25,-84
118,481357_101497,125890571,56,15,85,25,-96
2547,481386_101508,125890571,339,347,731,25,-107
2526,481377_101514,17854861,54,349,692,26,-109
1453,481326_101542,125932299,316,348,346,25,-106
1233,481353_101522,17854861,357,350,311,26,-109
993,481304_101549,125890330,8,357,268,32,-96
1578,481368_101509,125890571,318,350,366,25,-101
2651,481331_101526,125890571,222,162,863,25,-99
1213,481322_101537,125932299,290,356,307,25,-95
1006,481304_101551,125890330,18,358,271,32,-100
2801,481420_101500,125870872,45,358,1132,45,-99
3323,481422_101448,125890330,233,170,3532,32,-102
909,481354_101490,125890571,92,109,254,25,-112
1813,481388_101496,125870872,30,2,409,45,-96
1204,481360_101490,125870872,251,151,305,45,-108
1713,481387_101496,125870872,29,2,390,45,-98
2615,481390_101492,125890571,8,346,820,25,-105
1903,481364_101518,125931787,36,354,428,29,-87
2689,481328_101474,125890571,130,162,910,25,-96
1941,481297_101546,125890330,359,355,437,32,-121
1046,481384_101484,125870872,77,33,276,45,-98
2990,481333_101574,17854861,316,347,1616,26,-115
1004,481367_101502,125890571,344,350,270,25,-105
1906,481349_101484,125890571,105,153,429,25,-110
1065,481364_101492,125890571,38,351,280,25,-118
1436,481362_101510,125931787,62,0,343,29,-103
1691,481371_101494,125890571,16,348,387,25,-102
58,481335_101529,125932299,82,71,63,25,-109
645,481356_101511,17854861,58,359,204,26,-115
2618,481407_101478,125870872,75,7,825,45,-103
518,481336_101536,125932299,13,351,179,25,-98
818,481337_101510,17854861,237,155,238,26,-99
2354,481367_101526,125931787,22,353,594,29,-112
878,481336_101539,125932299,5,348,248,25,-109
1366,481347_101530,125932299,72,357,333,25,-106
1706,481364_101512,17854861,56,352,389,26,-101
3068,481396_101538,125890330,198,169,1878,32,-94
129,481359_101501,125890571,339,2,87,25,-92
1123,481383_101481,125870872,92,104,291,45,-99
132,481333_101533,125932299,352,359,88,25,-83
2688,481408_101504,125870872,35,358,909,45,-98
1472,481387_101483,125870872,77,27,349,45,-97
474,481311_101544,125890330,321,4,172,32,-107
2905,481396_101539,125931787,30,351,1329,29,-110
2235,481356_101530,125932299,74,352,541,25,-91
1285,481343_101538,125932299,36,348,320,25,-77
3117,481265_101531,17854861,254,163,1964,26,-95
63,481333_101532,125932299,355,5,65,25,-84
3006,481297_101471,125932299,197,162,1682,25,-112
227,481370_101491,125870872,291,46,115,45,-115
2254,481371_101512,17854861,57,350,550,26,-112
641,481326_101535,125932299,295,359,204,25,-102
2755,481351_101553,125931787,334,351,1060,29,-89
3281,481350_101433,125890330,263,165,3020,32,-111
1778,481390_101485,125870872,68,12,403,45,-96
2423,481369_101526,125931787,25,352,631,29,-127
3276,481413_101470,125890330,229,170,3001,32,-100
945,481323_101535,125932299,285,4,260,25,-96
1963,481303_101536,125890330,323,356,443,32,-130
2180,481337_101550,125932299,357,345,520,25,-106
1045,481380_101479,125870872,109,149,276,45,-111
1549,481319_101537,125932299,284,359,364,25,-96
1638,481319_101538,125932299,287,356,378,25,-92
237,481331_101534,125932299,325,357,118,25,-77
2499,481383_101509,125890571,336,347,672,25,-103
2662,481343_101533,125890571,245,161,876,25,-86
1516,481370_101505,125890571,335,349,357,25,-104
593,481339_101512,125931787,249,147,194,29,-102
309,481353_101511,17854861,56,6,136,26,-114
2719,481384_101529,125931787,33,352,963,29,-106
834,481357_101514,17854861,41,354,240,26,-98
3366,481282_101708,125932299,328,343,4617,25,-118
2745,481415_101501,125870872,42,358,1029,45,-106
1901,481359_101524,125931787,11,353,428,29,-105
3294,481210_101526,17854861,247,164,3190,26,-106
176,481356_101496,125890571,75,36,103,25,-101
2242,481360_101529,17854861,5,348,543,26,-116
937,481382_101482,125870872,90,94,258,45,-108
2963,481433_101508,125870872,41,357,1479,45,-115
2503,481374_101521,125890571,305,348,677,25,-111
1117,481381_101479,125870872,105,146,290,45,-114
2860,481406_101483,125890571,14,346,1240,25,-122
2959,481255_101534,125890330,355,352,1449,32,-92
3072,481382_101443,17854861,121,164,1879,26,-99
1746,481299_101545,125890330,355,355,398,32,-116
884,481357_101515,17854861,36,353,250,26,-87
354,481369_101492,125870872,289,40,147,45,-103
1488,481388_101488,125870872,58,8,352,45,-94
621,481307_101550,125890330,14,0,200,32,-80
3285,481350_101432,125890330,263,165,3044,32,-110
1084,481359_101514,125931787,44,358,284,29,-102
2633,481390_101489,125890571,13,346,841,25,-97
122,481348_101514,125931787,344,10,86,29,-76
1074,481358_101516,125931787,34,357,282,29,-91
1049,481359_101509,125931787,68,6,277,29,-104
2160,481359_101528,125931787,4,353,509,29,-113
304,481377_101491,125870872,20,15,134,45,-80
2879,481395_101536,17854861,32,347,1270,26,-111
1384,481327_101542,125932299,320,348,336,25,-104
504,481308_101549,125890330,7,1,177,32,-72
403,481336_101535,125932299,17,352,157,25,-98
3001,481387_101548,125890330,191,169,1649,32,-92
2226,481367_101522,17854861,30,349,536,26,-88
2085,481366_101519,125931787,36,354,480,29,-112
1801,481361_101521,17854861,23,349,408,26,-88
2579,481296_101524,125890330,317,354,779,32,-113
2210,481362_101527,17854861,12,348,530,26,-97
2257,481373_101485,125890571,36,348,551,25,-98
673,481358_101492,125890571,67,2,209,25,-98
373,481377_101492,125870872,13,12,151,45,-86
3362,481192_101693,125890330,59,351,4591,32,-89
1678,481352_101485,125890571,97,140,385,25,-110
1308,481381_101498,125870872,8,3,323,45,-106
2297,481379_101493,125890571,11,347,569,25,-112
2097,481295_101553,125890330,20,355,484,32,-104
1182,481383_101495,125870872,23,4,301,45,-108
616,481355_101514,125931787,37,0,198,29,-102
2271,481332_101528,125931787,288,359,556,29,-86
1461,481324_101541,125932299,307,349,347,25,-98
850,481308_101556,125890330,50,3,243,32,-85
1853,481372_101493,125890571,18,348,418,25,-95
2954,481255_101535,125890330,356,352,1443,32,-94
463,481335_101536,125932299,5,351,170,25,-102
1909,481389_101496,125870872,32,2,429,45,-96
2791,481393_101496,17854861,77,352,1120,26,-123
2836,481339_101464,125931787,159,168,1188,29,-92
1409,481356_101500,17854861,109,153,339,26,-104
1733,481358_101523,125931787,11,354,394,29,-107
2136,481365_101522,125931787,27,353,497,29,-101
2303,481293_101540,125890330,347,354,571,32,-124
2732,481413_101502,125870872,40,358,995,45,-113
2995,481367_101594,125890330,148,169,1631,32,-102
2588,481388_101510,125890571,337,346,790,25,-126
1596,481340_101524,17854861,301,353,370,26,-106
779,481363_101494,125890571,33,352,229,25,-113
1293,481302_101552,125890330,21,357,321,32,-98
1612,481359_101521,125931787,19,354,373,29,-101
584,481340_101533,125932299,50,354,192,25,-85
2730,481368_101476,125931787,118,166,995,29,-126
1613,481361_101486,125890571,63,353,373,25,-105
2754,481412_101509,125870872,31,357,1050,45,-110
174,481373_101484,125870872,146,144,102,45,-106
2168,481395_101486,125870872,63,6,514,45,-89
2151,481366_101521,125931787,31,353,503,29,-92
2051,481367_101507,17854861,70,355,467,26,-95
610,481361_101494,125890571,42,354,197,25,-105
792,481348_101520,17854861,334,353,232,26,-102
243,481337_101532,125932299,45,0,120,25,-87
447,481376_101482,125870872,119,146,165,45,-108
664,481356_101512,17854861,51,357,206,26,-98
3097,481300_101443,125890571,128,163,1919,25,-113
2109,481351_101530,125931787,341,353,489,29,-114
497,481337_101524,125932299,123,149,175,25,-98
21,481331_101530,125932299,279,75,45,25,-87
3211,481416_101577,125890571,302,346,2380,25,-100
2591,481333_101476,125890571,126,162,795,25,-104
202,481376_101485,125870872,97,106,108,45,-102
2292,481380_101498,125890571,359,347,567,25,-102
221,481328_101531,125932299,275,65,113,25,-102
3061,481388_101447,17854861,116,164,1855,26,-97
1027,481359_101511,17854861,58,356,273,26,-102
2083,481338_101528,125931787,301,356,480,29,-76
2460,481345_101485,125870872,234,168,647,45,-106
1570,481361_101518,125931787,32,355,366,29,-92
2681,481392_101487,125890571,15,346,902,25,-107
381,481379_101489,125870872,46,19,152,45,-96
2167,481369_101515,17854861,49,350,514,26,-115
1894,481366_101486,125890571,48,350,426,25,-108
2438,481316_101550,125932299,305,346,638,25,-84
1693,481372_101497,125890571,5,348,387,25,-107
2848,481408_101505,125890571,349,346,1217,25,-108
1619,481363_101514,125931787,48,356,374,29,-98
2219,481359_101479,125890571,75,355,532,25,-106
3147,481268_101519,125890571,187,164,2076,25,-107
2315,481372_101513,17854861,55,350,575,26,-112
393,481357_101494,125890571,69,12,155,25,-99
2920,481349_101446,125890571,91,136,1361,25,-113
1955,481361_101523,125931787,18,353,441,29,-82
1068,481328_101540,125932299,320,349,281,25,-94
28,481357_101499,125890571,26,19,48,25,-98
110,481353_101502,125890571,216,143,81,25,-123
2055,481359_101526,125931787,7,353,468,29,-108
2693,481354_101547,125931787,340,351,920,29,-91
1413,481321_101538,125932299,291,354,340,25,-99
798,481312_101558,125890330,76,24,234,32,-84
3074,481269_101532,17854861,255,162,1881,26,-78
3239,481416_101410,125890571,51,345,2651,25,-101
1908,481374_101502,125890571,348,348,429,25,-110
1629,481322_101541,125932299,301,350,376,25,-93
2806,481393_101528,125931787,39,351,1141,29,-83
1559,481371_101497,125890571,6,348,365,25,-105
2426,481305_101526,125890330,304,356,633,32,-94
1279,481302_101547,125890330,0,356,319,32,-113
2497,481365_101532,125931787,10,352,671,29,-108
1519,481388_101490,125870872,50,6,357,45,-104
1318,481340_101522,17854861,297,355,326,26,-119
3205,481405_101596,125932299,33,343,2357,25,-100
3364,481280_101707,125932299,327,343,4605,25,-119
2940,481393_101547,125931787,21,351,1392,29,-119
5,481333_101529,125932299,107,98,31,25,-100
1605,481301_101543,125890330,346,356,372,32,-101
1155,481329_101541,125932299,327,348,297,25,-101
1036,481321_101532,125932299,268,106,275,25,-90
1395,481334_101543,125932299,350,347,337,25,-114
3159,481330_101426,17854861,160,165,2161,26,-119
2440,481374_101517,125931787,47,353,638,29,-107
498,481339_101526,125932299,101,133,175,25,-96
3184,481417_101445,17854861,102,163,2305,26,-104
2093,481365_101521,17854861,30,349,483,26,-87
3157,481271_101535,125890571,198,164,2139,25,-116
2834,481357_101488,125932299,133,161,1185,25,-86
987,481378_101497,125870872,358,4,266,45,-102
24,481315_101548,125890330,308,50,47,32,-103
2217,481309_101529,125890330,298,358,532,32,-119
1659,481368_101490,125890571,34,349,381,25,-118
1071,481361_101490,125890571,56,354,281,25,-104
2538,481384_101511,125890571,333,347,712,25,-113
2370,481369_101524,125931787,28,353,602,29,-94
1511,481359_101520,125931787,22,355,357,29,-94
31,481317_101550,125890330,162,129,49,32,-84
62,481332_101532,125932299,333,8,65,25,-91
2042,481364_101521,17854861,29,349,464,26,-88
1102,481378_101498,125870872,356,3,288,45,-103
1998,481364_101520,17854861,31,349,451,26,-87
2842,481399_101513,17854861,58,348,1196,26,-94
1780,481373_101501,125890571,351,348,404,25,-105
164,481345_101514,17854861,297,18,98,26,-84
1450,481369_101494,125890571,19,349,345,25,-97
2882,481308_101474,125890571,145,163,1276,25,-117
1708,481370_101492,125890571,24,349,389,25,-113
3052,481369_101440,125931787,132,168,1844,29,-98
2600,481389_101509,125890571,339,346,804,25,-121
2203,481293_101546,125890330,1,354,528,32,-118
991,481363_101493,125870872,269,93,267,45,-112
971,481350_101521,17854861,345,351,264,26,-93
2416,481368_101527,17854861,22,348,628,26,-78
2603,481338_101485,125870872,235,169,808,45,-105
1469,481346_101536,125932299,49,349,349,25,-99
224,481352_101497,125890571,131,147,114,25,-106
317,481361_101502,125890571,335,356,137,25,-81
402,481326_101531,125932299,269,92,157,25,-106
256,481311_101547,125890330,343,6,124,32,-84
466,481371_101494,125870872,314,16,170,45,-92
556,481349_101518,125931787,344,359,186,29,-82
2981,481401_101430,125870872,123,172,1584,45,-103
1692,481371_101506,125890571,333,349,387,25,-108
3261,481412_101473,125890330,228,170,2934,32,-108
2646,481389_101485,125890571,19,346,858,25,-103
1805,481356_101525,125931787,1,354,409,29,-109
3125,481385_101503,125890330,224,169,1979,32,-99
1432,481370_101497,125890571,6,349,342,25,-100
2181,481369_101516,125931787,46,354,520,29,-96
1042,481304_101552,125890330,22,358,276,32,-96
1657,481348_101535,125932299,56,349,381,25,-114
2340,481369_101523,125931787,30,353,588,29,-74
2132,481377_101499,125890571,357,347,496,25,-101
650,481347_101502,125890571,188,157,205,25,-120
1912,481327_101546,125932299,325,347,430,25,-116
1711,481360_101521,17854861,21,350,390,26,-94
870,481327_101538,125932299,311,351,247,25,-106
2922,481397_101540,125931787,29,351,1362,29,-108
1788,481327_101545,125932299,324,347,406,25,-79
3315,481217_101444,125890330,322,351,3483,32,-109
1440,481303_101542,125890330,339,356,344,32,-111
1577,481368_101491,125890571,31,349,366,25,-106
1327,481356_101521,125931787,10,355,327,29,-109
2675,481384_101499,17854861,77,353,899,26,-109
813,481361_101508,125890571,299,357,237,25,-93
1031,481355_101519,125931787,13,356,274,29,-99
675,481364_101487,125870872,236,153,209,45,-114
1929,481297_101552,125890330,18,355,434,32,-111
266,481314_101554,125890330,79,52,126,32,-97
215,481344_101514,125931787,287,36,112,29,-86
2827,481406_101493,125890571,2,346,1177,25,-103
982,481344_101521,17854861,312,354,266,26,-92
1167,481385_101484,125870872,76,28,298,45,-108
193,481377_101488,125870872,53,34,106,45,-78
749,481351_101519,17854861,354,352,224,26,-91
50,481331_101528,125932299,214,135,60,25,-81
3132,481385_101501,125890330,225,169,2009,32,-111
2703,481381_101529,125890571,305,347,934,25,-115
1362,481365_101510,125890571,308,351,332,25,-105
906,481366_101503,125890571,338,351,253,25,-101
350,481310_101552,125890330,34,6,147,32,-104
1206,481368_101504,125890571,336,350,305,25,-111
2968,481377_101564,17854861,359,346,1499,26,-86
1428,481360_101487,125890571,65,355,342,25,-107
1822,481365_101511,125931787,59,357,411,29,-104
1820,481350_101533,125932299,64,350,411,25,-114
3179,481413_101543,125890330,193,170,2255,32,-90
375,481355_101494,125890571,87,76,152,25,-105
219,481315_101545,125890330,289,35,113,32,-97
2660,481391_101488,125890571,14,346,872,25,-102
977,481365_101494,125890571,27,351,265,25,-112
2458,481375_101514,17854861,53,349,646,26,-109
3343,481439_101447,125890330,230,170,3832,32,-110
1043,481355_101489,125890571,86,52,276,25,-117
2912,481353_101580,125932299,7,344,1347,25,-95
2650,481395_101460,125870872,110,166,862,45,-118
1964,481316_101567,125890330,100,151,443,32,-104
502,481377_101482,125870872,112,141,176,45,-110
2237,481392_101500,125870872,27,0,541,45,-93
1758,481390_101489,125870872,55,6,399,45,-101
26,481314_101549,125890330,358,32,48,32,-89
1738,481361_101485,125890571,64,353,396,25,-112
2053,481334_101511,125932299,159,159,468,25,-94
401,481378_101484,125870872,93,102,156,45,-101
683,481325_101525,125932299,226,153,211,25,-90
